"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","seo compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/campagnes/full-spectrum-of-insulation-solutions > lang: fr-fr","","",""
"","0","functionality of links","Tablet-768-Chrome","2026-03-29","skipped","2026-03-29","URL: /se/sv/dokument stage only Health Check > lang: se-sv","","",""
"","16574","functionality of links","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/contacto-kingspan/kingspan-insulation stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","160","functionality of links","Desktop-1200-Chrome","2026-03-29","skipped","2026-03-29","URL: /fr/produits/protection-passive-contre-lincendie/protection-electrique stage only Health Check > lang: fr-produits","","",""
"","38","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes/pavimentos > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","12","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/sobre-nos > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","6151","functionality of links","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/produits/panneaux-isolants/panneaux-isolants-pour-faux-plafonds/pur-2ps stage only Health Check > lang: fr-fr","","",""
"","459","visual compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/pur-al-plus > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","9","seo compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/articles-de-connaissance/comment-reduire-nos-dechets-et-tendre-vers-le-zero-dechet > lang: fr-articles-de-connaissance","","",""
"","6480","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspanisolationtechnique > lang: fr-fr","","",""
"","13866","functionality of links","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/aviso-de-consentimento-de-marketing-directo stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","18833","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes/pavimentos stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
